Rank,District,Name,FTE Students
294,17404,Skykomish,44
295,38304,Steptoe,44
296,30031,Mill A,41
297,33030,Onion Creek,43
298,38264,Lamont,41
299,19007,Damman,42
300,7035,Starbuck,52
301,11056,Kahlotus,39
302,20403,Roosevelt,37
303,16020,Queets-Clearwater,41
304,10003,Keller,36
305,32312,Great Northern,36
307,33205,Evergreen (Stevens),31
308,9102,Palisades,29
309,36101,Dixie,28
310,31063,Index,24
311,1122,Benge,16
312,11054,Star,15
313,4069,Stehekin,8
314,28010,Shaw Island,8
